;Rank;P_Name;Assists
0;1;Antoine Griezmann;16
1;2;Vinicius Júnior;9
2;3;Mikel Merino;9
3;4;Rodrygo;8
4;5;Rodrigo De Paul;7
5;6;Raphinha;7
6;7;Robert Lewandowski;7
7;8;Brian Oliván;7
8;9;Lucas Robertone;7
9;10;Ousmane Dembélé;7
0;1;Kevin De Bruyne;16
1;2;Leandro Trossard;12
2;3;Mohamed Salah;12
3;4;Bukayo Saka;11
4;5;Michael Olise;11
5;6;Riyad Mahrez;10
6;7;Trent Alexander-Arnold;9
7;8;James Maddison;9
8;9;Erling Haaland;8
9;10;Andrew Robertson;8
10;11;Morgan Gibbs-White;8
11;12;Bruno Fernandes;8
12;13;Bryan Mbeumo;8
13;14;Ivan Perisic;8
14;15;Pascal Groß;8
15;16;Christian Eriksen;8
0;1;Raphaël Guerreiro;12
1;2;Randal Kolo Muani;11
2;3;Jamal Musiala;10
3;4;Florian Kainz;10
4;5;Jonas Hofmann;9
5;6;Mitchell Weiser;9
6;7;Alassane Pléa;9
7;8;Angeliño;8
8;9;Thomas Müller;8
9;10;Dominik Szoboszlai;8
10;11;Julian Brandt;8
11;12;Moussa Diaby;8
12;13;Patrick Wimmer;8
0;1;Lionel Messi;16
1;2;Neymar;11
2;3;Rémy Cabella;10
3;4;Benjamin Andre;10
4;5;Caio Henrique Oliveira Silva;9
5;6;Jonathan Clauss;9
6;7;Florian Sotoca;9
7;8;Branco van den Boomen;8
8;9;Bradley Barcola;8
9;10;Aleksandr Golovin;7
10;11;Jonathan Bamba;7
11;12;Adrien Thomasson;7
12;13;Maxence Caqueret;7
0;1;Khvicha Kvaratskhelia;10
1;2;Rafael Leão;8
2;3;Sergej Milinkovic-Savic;8
3;4;Piotr Zielinski;8
4;5;Filip Kostic;8
5;6;Musa Barrow;8
6;7;Sandro Tonali;7
7;8;Brahim Díaz;7
8;9;Luis Alberto;7
9;10;Domenico Berardi;7
10;11;Roberto Pereyra;7
