;Rank;P_Name;Goals
0;1;Robert Lewandowski;23
1;2;Karim Benzema;19
2;3;Joselu;16
3;4;Vedat Muriqi;15
4;5;Borja Iglesias;15
5;6;Antoine Griezmann;15
6;7;Enes Ünal;14
7;8;Álvaro Morata;13
9;9;Iago Aspas;12
10;10;Nicolas Jackson;12
11;11;Alexander Sørloth;12
0;1;Erling Haaland;36
1;2;Harry Kane;30
2;3;Ivan Toney;20
3;4;Mohamed Salah;19
4;5;Callum Wilson;18
5;6;Marcus Rashford;17
6;7;Martinelli;15
7;8;Martin Ødegaard;15
8;9;Ollie Watkins;15
9;10;Aleksandar Mitrović;14
10;11;Bukayo Saka;14
0;1;Niclas Füllkrug;16
1;2;Christopher Nkunku;16
2;3;Vincenzo Grifo;15
3;4;Randal Kolo Muani;15
4;5;Serge Gnabry;14
5;6;Marcus Thuram;13
6;7;Jonas Hofmann;12
7;8;Jamal Musiala;12
8;9;Andrej Kramarić;12
9;10;Marvin Ducksch;12
0;1;Kylian Mbappé;29
1;2;Alexandre Lacazette;27
2;3;Jonathan David;24
3;4;Folarin Balogun;21
4;5;Loïs Openda;21
5;6;Habib Diallo;20
6;7;Elye Wahi;19
7;8;Wissam Ben Yedder;19
8;9;Terem Moffi;18
9;10;Lionel Messi;16
0;1;Victor Osimhen;26
1;2;Lautaro Martínez;21
2;3;Boulaye Dia;16
3;4;Rafael Leão;15
4;5;Olivier Giroud;13
5;6;Ademola Lookman;13
6;7;M'Bala Nzola;13
7;8;Antonio Sanabria;12
8;9;Ciro Immobile;12
9;10;Domenico Berardi;12
10;11;Khvicha Kvaratskhelia;12
11;12;Paulo Dybala;12
