Unnamed: 0,Unnamed: 0_x,Player_Name,Position_x,Age,Matches Played,Starts,90 mins played,Non Penalty xG,Expected Assisted Goals,Non Penalty xG + Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Recvd,Goals/90,Assists/90,(Goals+Assists)/90,Non Penalty Goals/90,Non Pen Goals+Assists/90,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90,Shot On Target %,Shots total/90,Shots on Target/90,Goals/Shot,Non Penalty (Goals-xG),Passes Completed,Pass Completion Percentage,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Through Balls,Switches,Crosses,Shot Creating Actions/90,Successful Take Ons,Tackles,Tackles Won,Number of Blocks,Shots Blocked,Passes Blocked,Interceptions,Clearances,Errors leading to goal,Touches,Touches in Attacking 3rd,Touches in Penalty Box,Penalty Kicks won,Ball Recoveries,% of Aerial Duels won,Unnamed: 53,Goals,Assists,Goals+Assists,Non-penalty goals,Non penalty goals+assists,Unnamed: 0_y,Player Age,Value,Club_Name,Nationality,Position_y,Unnamed: 66,Player_Name.1
0.0,0.0,Giovanni Di Lorenzo,DF,29.0,37,36.0,36.2,2.7,4.7,7.4,73.0,256.0,182.0,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.2,0.07,0.2,41.9,0.86,0.36,0.1,0.3,2272.0,84.6,47.0,177.0,61.0,9.0,5.0,25.0,88.0,3.07,0.0,60.0,29.0,30.0,9.0,21.0,30.0,60.0,0.0,2957.0,788.0,94.0,0.0,171.0,54.7,,3,4.0,7.0,3.0,7.0,1040.0,29.0,25.00m,SSC Napoli,Italy,Right-Back,,Giovanni Di Lorenzo
1.0,1.0,Andre-Frank Zambo Anguissa,MF,27.0,36,36.0,33.9,4.4,2.6,7.0,58.0,181.0,140.0,0.09,0.15,0.24,0.09,0.24,0.13,0.08,0.21,0.13,0.21,30.0,1.48,0.44,0.06,-1.4,1988.0,87.9,33.0,185.0,25.0,0.0,2.0,3.0,24.0,2.33,0.0,53.0,32.0,50.0,4.0,46.0,49.0,25.0,0.0,2647.0,758.0,88.0,1.0,226.0,63.5,,3,5.0,8.0,3.0,8.0,,,,SSC Napoli,,,,Andre-Frank Zambo Anguissa
2.0,2.0,Kim Min-jae,DF,26.0,35,35.0,33.9,1.0,1.9,2.9,42.0,169.0,8.0,0.06,0.06,0.12,0.06,0.12,0.03,0.06,0.09,0.03,0.09,37.5,0.24,0.09,0.25,1.0,2552.0,90.8,10.0,201.0,8.0,2.0,2.0,30.0,6.0,1.09,0.0,55.0,30.0,36.0,26.0,10.0,41.0,123.0,1.0,3142.0,104.0,27.0,0.0,211.0,62.8,,2,2.0,4.0,2.0,4.0,,,,SSC Napoli,,,,Kim Min-jae
3.0,3.0,Stanislav Lobotka,MF,28.0,38,34.0,34.5,0.6,1.0,1.6,51.0,172.0,39.0,0.03,0.03,0.06,0.03,0.06,0.02,0.03,0.05,0.02,0.05,36.4,0.32,0.12,0.09,0.4,2163.0,94.0,17.0,214.0,14.0,0.0,0.0,14.0,2.0,2.03,0.0,83.0,44.0,29.0,7.0,22.0,23.0,16.0,0.0,2536.0,379.0,14.0,1.0,254.0,41.4,,1,1.0,2.0,1.0,2.0,1042.0,28.0,38.00m,SSC Napoli,Slovakia,Defensive Midfield,,Stanislav Lobotka
4.0,4.0,Alex Meret,GK,26.0,34,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,818.0,87.9,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,974.0,0.0,0.0,0.0,66.0,100.0,,0,0.0,0.0,0.0,0.0,1030.0,26.0,18.00m,SSC Napoli,Italy,Goalkeeper,,Alex Meret
5.0,5.0,Victor Osimhen,FW,24.0,32,30.0,28.5,18.9,2.8,21.8,43.0,28.0,196.0,0.91,0.14,1.05,0.84,0.98,0.75,0.1,0.85,0.66,0.76,39.4,4.63,1.82,0.18,5.1,276.0,69.0,34.0,20.0,10.0,2.0,1.0,3.0,19.0,2.8,0.0,10.0,6.0,6.0,1.0,5.0,6.0,29.0,0.0,789.0,537.0,232.0,2.0,58.0,54.6,,26,4.0,30.0,24.0,28.0,1055.0,24.0,100.00m,SSC Napoli,Nigeria,Centre-Forward,,Victor Osimhen
6.0,6.0,Khvicha Kvaratskhelia,FW,22.0,34,30.0,28.0,6.6,7.7,14.2,139.0,91.0,291.0,0.43,0.36,0.79,0.36,0.71,0.29,0.27,0.56,0.23,0.51,36.1,2.97,1.07,0.12,3.4,900.0,79.2,54.0,41.0,46.0,8.0,14.0,15.0,76.0,4.86,3.0,43.0,23.0,20.0,0.0,20.0,5.0,6.0,1.0,1548.0,976.0,175.0,4.0,118.0,38.1,,12,10.0,22.0,10.0,20.0,1050.0,22.0,85.00m,SSC Napoli,Georgia,Left Winger,,Khvicha Kvaratskhelia
7.0,7.0,Amir Rrahmani,DF,29.0,29,27.0,27.2,1.8,1.0,2.9,23.0,135.0,5.0,0.07,0.04,0.11,0.07,0.11,0.07,0.04,0.11,0.07,0.11,14.3,0.77,0.11,0.1,0.2,1977.0,91.2,12.0,149.0,7.0,0.0,0.0,30.0,1.0,0.96,0.0,33.0,18.0,36.0,20.0,16.0,14.0,79.0,1.0,2372.0,102.0,29.0,0.0,162.0,62.6,,2,1.0,3.0,2.0,3.0,1035.0,29.0,25.00m,SSC Napoli,Kosovo,Centre-Back,,Amir Rrahmani
8.0,8.0,Piotr Zielinski,MF,29.0,37,27.0,25.4,3.5,7.4,10.9,62.0,128.0,129.0,0.12,0.31,0.43,0.12,0.43,0.14,0.29,0.43,0.14,0.43,35.8,2.08,0.75,0.06,-0.5,1300.0,83.8,84.0,122.0,45.0,7.0,2.0,6.0,112.0,5.31,0.0,17.0,10.0,16.0,5.0,11.0,14.0,7.0,0.0,1755.0,765.0,54.0,0.0,102.0,23.5,,3,8.0,11.0,3.0,11.0,,,,SSC Napoli,,,,Piotr Zielinski
9.0,9.0,Mário Rui,DF,32.0,22,21.0,19.4,0.6,4.0,4.6,52.0,153.0,97.0,0.0,0.31,0.31,0.0,0.31,0.03,0.2,0.24,0.03,0.24,36.4,0.57,0.21,0.0,-0.6,1408.0,81.2,46.0,146.0,54.0,17.0,2.0,30.0,110.0,4.48,0.0,34.0,22.0,17.0,4.0,13.0,15.0,24.0,1.0,1864.0,552.0,11.0,0.0,155.0,34.2,,0,6.0,6.0,0.0,6.0,1039.0,31.0,8.00m,SSC Napoli,Portugal,Left-Back,,Mário Rui
